"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q3","Q8","Q4","Q5","Q7","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q29","Q30","Q31","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q41","Q42","Q43","Q45","Q46","Q47","Q48","Q49","Q50","Q51","Q52","Q52_11_TEXT","rid","Treatment_DO","switch_1_demand","switch_2_demand"
"4","2021-02-19 12:57:04","2021-02-19 12:58:50","0","36.33.254.172","100","106","1","2021-02-19 12:58:51","R_3lPUGoMkEVIZ4te","","","","","34.773193359375","113.72198486328100","anonymous","EN","1","20","20","20","1","4","","2","","4","","","","2","","","","","","","","2","1","1","","1","","","","2","","","","","","","","6","1","2","5","1","3","2","8","","602f4505-1771-7eca-3738-69f8d55b1ee3","E_positive",2,58
"5","2021-02-19 12:58:39","2021-02-19 13:00:23","0","183.7.253.64","100","104","1","2021-02-19 13:00:24","R_3LhxlzbQTtdK57P","","","","","22.533294677734400","114.13330078125","anonymous","EN","2","87.6","90","3","3","","","1","1","","2","","","","","2","","","","","","","1","1","","2","","","","","2","","","","","","","10","1","2","5","1","1","1","7","","602f45ad-176c-3a18-99e1-7aca3b7bcd41","E_negative",50,50
"6","2021-02-19 13:00:18","2021-02-19 13:02:37","0","221.192.180.126","100","138","1","2021-02-19 13:02:37","R_cuceYjBwU5uLIkx","","","","","40.0050048828125","116.510406494141000","anonymous","EN","1","1","0.4","200","1","4","","2","","4","","","","2","","","","","","","","1","2","","2","","","","1","","","","","","","1","","10","2","1","6","3","2","1","8","","602f45bc-46de-1a89-f0cc-cf55dfb0e675","C_positive",6,14
"7","2021-02-19 13:00:59","2021-02-19 13:02:56","0","60.6.23.219","100","117","1","2021-02-19 13:02:57","R_1dE726MP3TDoGZs","","","","","37.0630950927734000","114.49420166015600","anonymous","EN","2","500","500","2","3","","","1","4","","","1","","","","","1","","","","","","1","1","","2","","","","","2","","","","","","","11","2","1","5","1","1","2","2","","602f45ef-7432-dc60-af4f-e38093d58824","M",46,50
"8","2021-02-19 12:57:13","2021-02-19 13:02:58","0","183.167.33.64","100","345","1","2021-02-19 13:02:58","R_27x4DZ3DATORh4c","","","","","31.4120025634766000","121.495086669922000","anonymous","EN","3","10","80","30","2","","4","1","1","","2","","","","","2","","","","","","","1","2","","","1","","","","","2","","","","","","9","1","3","4","1","1","1","1","","602f4507-e632-5fd5-ce66-246f48cc266d","M_positive",50,42
"9","2021-02-19 12:59:22","2021-02-19 13:03:29","0","113.129.79.57","100","246","1","2021-02-19 13:03:29","R_1C7paLn4JLkDFCg","","","","","36.4781951904297000","115.02508544921900","anonymous","EN","2","5","5","2.5","3","","","2","","4","","","","1","","","","","","","1","","2","","1","","","1","","","","","","2","","","","10","1","2","5","1","2","2","7","","602f458b-bf0d-2da2-713e-1d475e336aee","M_negative",14,26
"10","2021-02-19 12:59:02","2021-02-19 13:03:40","0","39.171.136.119","100","278","1","2021-02-19 13:03:40","R_ZEHOPd5CvbfNY77","","","","","30.2935943603516000","120.161407470703000","anonymous","EN","3","100","100","0","3","","","2","","1","","","1","","","","","","1","","","","2","","1","","","1","","","","","","1","","","","10","1","1","6","4","4","2","4","","602f45c4-124c-b5f8-a1bb-74e570f4ecb6","C_negative",30,30
"11","2021-02-19 12:59:58","2021-02-19 13:04:54","0","180.162.176.91","100","295","1","2021-02-19 13:04:54","R_UxsPi9DXBYFDYJ3","","","","","31.264495849609400","121.525787353516000","anonymous","EN","1","240","240","100","3","","","2","","4","","","","2","","","","","","","","2","2","","2","","","","2","","","","","","","","2","4","2","1","3","1","3","1","3","","602f45bb-e0f3-c142-7c4b-d8461e8f323d","C_negative",2,2
"12","2021-02-19 13:02:29","2021-02-19 13:04:57","0","36.250.247.76","100","147","1","2021-02-19 13:04:57","R_3wUwEKJtikuXieZ","","","","","24.47979736328130","118.0819091796880","anonymous","EN","2","400","500","100","3","","","1","4","","","1","","","","","2","","","","","","1","2","","","1","","","","","2","","","","","","10","2","2","5","1","1","1","1","","602f462f-88a4-568c-f3cb-8a873c0d1bde","C",42,42
"13","2021-02-19 13:03:40","2021-02-19 13:06:08","0","112.37.215.56","100","148","1","2021-02-19 13:06:09","R_AiEhDRQ8Sswn1Wp","","","","","37.36669921875","118.016693115234000","anonymous","EN","2","240","120","120","3","","","1","1","","2","","","","","2","","","","","","","1","1","","1","","","","1","","","","","","","","10","1","3","5","1","1","1","9","","602f46a3-b3f7-2137-3c65-519034eac8f5","E",50,62
